idx,stages,latency,critσ,combHits,dspHits,baseE,rawE,warE,wawE,flagWR,flagWAW,finalE
1727,2,2,1.5,1,0,4,1,0,0,0,0,5
1728,2,2,1.0,0,0,1,0,0,0,0,0,1
1729,4,4,0.8660254037844386,0,0,3,1,0,0,0,0,4
1730,1,1,0.0,0,0,3,1,0,1,0,1,6
1731,2,2,0.5,0,0,2,0,0,0,0,0,2
1732,2,2,1.5,1,0,4,0,0,0,0,0,4
1733,2,2,0.0,0,0,1,0,0,0,0,0,1
1734,3,3,1.247219128924647,0,1,3,0,1,0,0,0,4
1735,2,2,2.0,1,0,5,2,1,0,0,0,8
1736,2,2,1.5,1,0,4,1,0,0,1,0,6
1737,3,3,0.4714045207910317,0,0,3,1,0,0,0,0,4
1738,3,3,0.9428090415820634,0,0,2,1,0,0,0,0,3
1739,3,3,2.0548046676563256,1,0,4,0,0,0,0,0,4
1740,1,1,0.0,0,0,1,0,0,0,0,0,1
1741,3,3,1.632993161855452,0,0,4,1,0,0,0,0,5
1742,1,1,0.0,0,0,1,0,0,0,0,0,1
1743,1,1,0.0,0,0,4,3,0,0,0,2,9
1744,2,2,1.5,0,1,1,0,0,0,0,0,1
1745,2,2,0.5,0,0,2,1,0,0,0,0,3
1746,1,1,0.0,0,0,1,0,0,0,0,0,1
1747,1,1,0.0,0,0,5,1,0,1,0,1,8
1748,1,1,0.0,0,0,1,0,0,0,0,0,1
1749,3,3,0.0,0,0,2,1,0,0,0,0,3
1750,3,3,0.9428090415820634,0,0,2,0,0,0,0,0,2
1751,2,2,1.5,1,0,4,1,0,0,1,0,6
1752,1,1,0.0,0,0,1,0,0,0,0,0,1
1753,2,2,1.0,0,0,1,0,0,0,0,0,1
1754,2,2,1.0,0,0,4,0,0,0,0,1,4
1755,1,1,0.0,0,0,2,0,0,0,0,0,2
1756,1,1,0.0,0,0,2,0,0,0,0,0,2
1757,3,3,0.9428090415820634,0,0,3,0,0,0,0,0,3
1758,3,3,0.9428090415820634,0,0,4,3,0,0,0,0,7
1759,1,1,0.0,0,0,1,0,0,0,0,0,1
1760,1,1,0.0,0,0,1,0,0,0,0,0,1
1761,1,1,0.0,0,0,1,0,0,0,0,0,1
1762,1,1,0.0,0,0,1,0,0,0,0,0,1
1763,2,2,1.0,0,0,1,0,0,0,0,0,1
1764,4,4,1.920286436967152,1,0,10,4,0,0,0,0,14
1765,3,3,0.9428090415820634,0,0,2,0,0,0,0,0,2
1766,4,4,1.5811388300841898,1,0,11,8,5,2,0,0,26
1767,2,2,1.0,0,0,1,0,0,0,0,0,1
1768,3,3,0.9428090415820634,0,0,9,3,1,0,0,0,13
1769,2,2,1.0,0,0,1,0,0,0,0,0,1
1770,2,2,0.5,0,0,2,1,0,0,0,0,3
1771,2,2,2.5,1,0,8,2,1,0,0,0,11
1772,3,3,1.247219128924647,0,0,3,0,0,0,0,0,3
1773,2,2,1.0,0,0,4,0,0,0,0,1,4
1774,1,1,0.0,0,0,1,0,0,0,0,0,1
1775,2,2,0.5,0,0,4,2,1,0,0,0,7
1776,4,4,0.5,0,0,6,4,0,0,0,0,10
1777,1,1,0.0,0,0,2,0,0,0,0,0,2
1778,7,7,1.7261494247992246,5,0,17,20,3,2,0,0,42
1779,1,1,0.0,0,0,1,0,0,0,0,0,1
1780,2,2,1.0,0,0,1,0,0,0,0,0,1
1781,2,2,1.0,0,0,1,0,0,0,0,0,1
1782,2,2,0.0,0,0,1,0,0,0,0,0,1
1783,2,2,1.0,0,0,3,0,1,0,0,0,4
1784,2,2,1.0,0,0,1,0,0,0,0,0,1
1785,3,3,0.9428090415820634,0,0,3,0,0,0,0,0,3
1786,2,2,0.0,0,0,1,0,0,0,0,0,1
1787,2,2,1.0,0,0,1,0,0,0,0,0,1
1788,1,1,0.0,0,0,1,0,0,0,0,0,1
1789,1,1,0.0,0,0,1,0,0,0,0,0,1
1790,2,2,1.0,0,0,1,0,0,0,0,0,1
1791,2,2,0.0,0,0,1,0,0,0,0,0,1
1792,2,2,0.5,0,0,6,2,1,0,0,1,10
1793,2,2,1.0,0,0,1,0,0,0,0,0,1
1794,5,5,0.4,0,1,5,1,0,1,0,0,7
