bench,src,pc,latency

508.namd_r/1,1/super_hot_regions:58,0x5826d155b080,2
508.namd_r/1,1/super_hot_regions:58,0x5826d155b084,2
508.namd_r/1,1/super_hot_regions:58,0x5826d155b08d,2
508.namd_r/1,1/super_hot_regions:58,0x5826d155b091,2
508.namd_r/1,1/super_hot_regions:58,0x5826d155b0a1,4
508.namd_r/1,1/super_hot_regions:58,0x5826d155b0b6,4
508.namd_r/1,1/super_hot_regions:58,0x5826d155b0e4,1

508.namd_r/1,1/super_hot_regions:75,0x5826d1558010,2
508.namd_r/1,1/super_hot_regions:75,0x5826d1558014,2
508.namd_r/1,1/super_hot_regions:75,0x5826d155801c,2
508.namd_r/1,1/super_hot_regions:75,0x5826d1558020,2
508.namd_r/1,1/super_hot_regions:75,0x5826d1558030,4
508.namd_r/1,1/super_hot_regions:75,0x5826d1558045,4
508.namd_r/1,1/super_hot_regions:75,0x5826d1558073,1

508.namd_r/1,1/super_hot_regions:82,0x5826d15427e9,2
508.namd_r/1,1/super_hot_regions:82,0x5826d15427f1,2
508.namd_r/1,1/super_hot_regions:82,0x5826d15427f5,2
508.namd_r/1,1/super_hot_regions:82,0x5826d1542801,2
508.namd_r/1,1/super_hot_regions:82,0x5826d154280a,4
508.namd_r/1,1/super_hot_regions:82,0x5826d154281e,4
508.namd_r/1,1/super_hot_regions:82,0x5826d1542839,1

508.namd_r/1,1/super_hot_regions:90,0x5826d153f130,2
508.namd_r/1,1/super_hot_regions:90,0x5826d153f138,2
508.namd_r/1,1/super_hot_regions:90,0x5826d153f13c,2
508.namd_r/1,1/super_hot_regions:90,0x5826d153f148,2
508.namd_r/1,1/super_hot_regions:90,0x5826d153f151,4
508.namd_r/1,1/super_hot_regions:90,0x5826d153f167,4
508.namd_r/1,1/super_hot_regions:90,0x5826d153f182,1

508.namd_r/1,1/super_hot_regions:108,0x5826d152f718,2
508.namd_r/1,1/super_hot_regions:108,0x5826d152f71c,2
508.namd_r/1,1/super_hot_regions:108,0x5826d152f724,2
508.namd_r/1,1/super_hot_regions:108,0x5826d152f728,2
508.namd_r/1,1/super_hot_regions:108,0x5826d152f737,4
508.namd_r/1,1/super_hot_regions:108,0x5826d152f74c,4
508.namd_r/1,1/super_hot_regions:108,0x5826d152f779,1

508.namd_r/1,1/super_hot_regions:138,0x5826d153fbab,2
508.namd_r/1,1/super_hot_regions:138,0x5826d153fbd4,4
508.namd_r/1,1/super_hot_regions:138,0x5826d153fbfe,2
508.namd_r/1,1/super_hot_regions:138,0x5826d153fc3a,4
508.namd_r/1,1/super_hot_regions:138,0x5826d153fc61,2
508.namd_r/1,1/super_hot_regions:138,0x5826d153fc81,4

508.namd_r/1,1/super_hot_regions:153,0x5826d15327bd,2
508.namd_r/1,1/super_hot_regions:153,0x5826d15327c1,2
508.namd_r/1,1/super_hot_regions:153,0x5826d15327ca,2
508.namd_r/1,1/super_hot_regions:153,0x5826d15327ce,2
508.namd_r/1,1/super_hot_regions:153,0x5826d15327df,4
508.namd_r/1,1/super_hot_regions:153,0x5826d15327f3,4
508.namd_r/1,1/super_hot_regions:153,0x5826d153280b,1

508.namd_r/1,1/super_hot_regions:154,0x5826d15327c5,2
508.namd_r/1,1/super_hot_regions:154,0x5826d15327d2,2
508.namd_r/1,1/super_hot_regions:154,0x5826d15327d7,2
508.namd_r/1,1/super_hot_regions:154,0x5826d15327e8,4
508.namd_r/1,1/super_hot_regions:154,0x5826d1532806,2
508.namd_r/1,1/super_hot_regions:154,0x5826d1532813,4

508.namd_r/1,1/super_hot_regions:165,0x5826d156b609,2
508.namd_r/1,1/super_hot_regions:165,0x5826d156b60d,2
508.namd_r/1,1/super_hot_regions:165,0x5826d156b617,2
508.namd_r/1,1/super_hot_regions:165,0x5826d156b624,2
508.namd_r/1,1/super_hot_regions:165,0x5826d156b62c,4
508.namd_r/1,1/super_hot_regions:165,0x5826d156b640,4
508.namd_r/1,1/super_hot_regions:165,0x5826d156b65b,1

508.namd_r/1,1/super_hot_regions:177,0x5826d155ae7b,2
508.namd_r/1,1/super_hot_regions:177,0x5826d155ae7f,2
