idx,stages,II,est_fmax_mhz,latency,rank,exec_cnt,serial_mem
250,18,1,109.4,18,8,610122,True
251,1,1,225.8,1,8,3448774,False
252,3,1,437.5,3,8,7473656,True
253,2,1,1000.0,2,8,1559751,True
254,2,1,437.5,2,8,1108787,True
255,1,1,304.3,1,8,14751239,False
256,2,1,437.5,2,8,4667322,True
257,2,1,500.0,2,8,2769527,True
258,2,1,500.0,2,8,2248482,True
259,3,1,1166.7,3,8,2114282,True
260,1,1,304.3,1,9,3097019,False
261,2,1,1166.7,2,9,3097019,True
262,1,1,500.0,1,9,3097019,False
263,7,1,218.7,7,9,2334506,True
264,5,1,225.8,5,9,2334506,False
265,2,1,1000.0,2,9,2823212,True
266,2,1,1000.0,2,9,2530500,True
267,3,1,500.0,3,9,2530500,True
268,2,1,437.5,2,9,2530500,True
269,8,1,200.0,8,9,2530500,True
270,2,1,1000.0,2,9,2246602,True
271,3,1,500.0,3,9,2246602,True
272,2,1,437.5,2,9,2246602,True
273,8,1,200.0,8,9,2246602,True
274,2,1,304.3,2,9,2163534,True
275,2,1,1166.7,2,9,4000912,True
276,2,1,1166.7,2,9,1614800,True
277,2,1,218.7,2,9,1914073,True
278,10,1,205.9,10,9,2157104,True
279,2,1,437.5,2,9,6922875,True
280,2,1,437.5,2,9,3591778,True
281,2,1,225.8,2,9,1235933,False
282,1,1,291.7,1,9,1235933,False
283,3,1,1166.7,3,9,4241706,True
284,2,1,1166.7,2,9,1802672,True
285,2,1,218.7,2,9,1914073,True
286,2,1,1166.7,2,9,1525821,True
287,1,1,500.0,1,9,2180600,False
288,3,1,1166.7,3,9,2180600,True
289,2,1,437.5,2,10,3097019,True
290,2,1,1166.7,2,10,1514701,True
291,4,1,388.9,4,10,1514701,True
292,2,1,1166.7,2,10,1514701,True
293,2,1,500.0,2,10,2822808,True
294,1,1,291.7,1,10,2060825,False
295,2,1,1166.7,2,10,4000816,True
296,2,1,218.7,2,10,1364330,True
297,2,1,1166.7,2,10,2269276,True
