benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
502.gcc_r,5,region_4,96083400,96082350,1.25,1.25,0.00
502.gcc_r,5,region_5,153554800,153487600,0.78,0.78,0.04
502.gcc_r,5,region_6,132163500,132134800,0.91,0.91,0.02
502.gcc_r,5,region_7,141418200,141386000,0.85,0.85,0.02
502.gcc_r,5,region_8,87118150,87115350,1.38,1.38,0.00
502.gcc_r,5,region_9,137872700,137838400,0.87,0.87,0.02
502.gcc_r,5,region_10,129407600,128985500,0.93,0.93,0.33
502.gcc_r,5,region_11,153679400,153602400,0.78,0.78,0.05
502.gcc_r,5,region_12,146658050,146654200,0.82,0.82,0.00
502.gcc_r,5,region_13,140826700,140780500,0.85,0.85,0.03
502.gcc_r,5,region_14,142593150,142566900,0.84,0.84,0.02
502.gcc_r,5,region_15,141945300,141903300,0.85,0.85,0.03
502.gcc_r,5,region_16,360056200,359474500,0.33,0.33,0.16
502.gcc_r,5,average,151334925,151173969,0.87,0.87,0.14

503.bwaves_r,1,region_1,190359750,190218000,0.63,0.63,0.07
503.bwaves_r,1,region_2,179396000,179229750,0.67,0.67,0.09
503.bwaves_r,1,region_3,176955450,176794800,0.68,0.68,0.09
503.bwaves_r,1,region_4,165233600,165046700,0.73,0.73,0.11
503.bwaves_r,1,region_5,204362200,204244250,0.59,0.59,0.06
503.bwaves_r,1,region_6,182743050,182591500,0.66,0.66,0.08
503.bwaves_r,1,region_7,170555000,169553300,0.70,0.71,0.59
503.bwaves_r,1,region_8,173265050,173097050,0.69,0.69,0.10
503.bwaves_r,1,region_9,103713050,97372100,1.16,1.23,6.11
503.bwaves_r,1,region_10,169175650,168997500,0.71,0.71,0.11
503.bwaves_r,1,region_11,193744600,193603550,0.62,0.62,0.07
503.bwaves_r,1,region_12,200642750,197290800,0.60,0.61,1.67
503.bwaves_r,1,region_13,247434600,246005550,0.48,0.49,0.58
503.bwaves_r,1,region_14,150225250,141960700,0.80,0.85,5.50
503.bwaves_r,1,region_15,179842600,179676350,0.67,0.67,0.09
503.bwaves_r,1,region_16,166410300,166221650,0.72,0.72,0.11
503.bwaves_r,1,region_17,171977750,170751350,0.70,0.70,0.71
503.bwaves_r,1,region_18,169772750,169584800,0.71,0.71,0.11
503.bwaves_r,1,region_19,174770750,174588750,0.69,0.69,0.10
503.bwaves_r,1,region_20,189487900,189348250,0.63,0.63,0.07
503.bwaves_r,1,region_21,201569550,201447750,0.60,0.60,0.06
503.bwaves_r,1,region_22,179744600,179578000,0.67,0.67,0.09
503.bwaves_r,1,region_23,179569250,179403000,0.67,0.67,0.09
503.bwaves_r,1,region_24,199836000,194755400,0.60,0.62,2.54
503.bwaves_r,1,average,180032810,178806702,0.68,0.69,0.80

503.bwaves_r,2,region_1,179685450,179518850,0.67,0.67,0.09
