env,benchmark,cpu_cycles,fpga_cycles,delta_cycles,delta_cycle_pct,saved_cpu_ns,fpga_time_ns,f_fpga_mhz,num_blocks,avg_depth,total_depth,clb_used,dsp_used,clb_pct_board,dsp_pct_board,area_mm2,total_W,dyn_W,W_per_mm2,stage_count_raw
atom_d510,507.cactuBSSN_r,7571016388,7558011000,13005388,0.172,7787657.49,26535326.33,490.116,9,1.0,9,816,20,0.552,0.292,2.55,2.884,0.41,1.131,1+1+1+1+1+1+1+1+1
atom_c2750,507.cactuBSSN_r,5186267587,5174238720,12028867,0.232,5012027.92,24542898.01,490.116,9,1.0,9,816,20,0.552,0.292,2.55,2.884,0.41,1.131,1+1+1+1+1+1+1+1+1
i7_4770k,507.cactuBSSN_r,10211131658,10205444228,5687430,0.056,1624980.0,11604252.87,490.116,9,1.0,9,816,20,0.552,0.292,2.55,2.884,0.41,1.131,1+1+1+1+1+1+1+1+1
atom_e3845,507.cactuBSSN_r,5161884993,5146185320,15699673,0.304,8219724.08,32032565.76,490.116,9,1.0,9,816,20,0.552,0.292,2.55,2.884,0.41,1.131,1+1+1+1+1+1+1+1+1
gainestown,507.cactuBSSN_r,11121073140,11112686756,8386384,0.075,2995137.14,17111018.62,490.116,9,1.0,9,816,20,0.552,0.292,2.55,2.884,0.41,1.131,1+1+1+1+1+1+1+1+1
atom_d510,644.nab_s,3106482812,3062393994,44088818,1.419,26400489.82,94629270.4,465.911,10,1.0,10,939,38,0.635,0.556,2.934,3.031,0.555,1.033,1+1+1+1+1+1+1+1+1+1
atom_c2750,644.nab_s,2573592988,2529238786,44354202,1.723,18480917.5,95198872.75,465.911,10,1.0,10,939,38,0.635,0.556,2.934,3.031,0.555,1.033,1+1+1+1+1+1+1+1+1+1
i7_4770k,644.nab_s,1868800500,1817966541,50833959,2.72,14523988.29,109106586.88,465.911,10,1.0,10,939,38,0.635,0.556,2.934,3.031,0.555,1.033,1+1+1+1+1+1+1+1+1+1
atom_e3845,644.nab_s,2586720865,2542383406,44337459,1.714,23213329.32,95162936.7,465.911,10,1.0,10,939,38,0.635,0.556,2.934,3.031,0.555,1.033,1+1+1+1+1+1+1+1+1+1
gainestown,644.nab_s,1889559697,1828728720,60830977,3.219,21725348.93,130563513.2,465.911,10,1.0,10,939,38,0.635,0.556,2.934,3.031,0.555,1.033,1+1+1+1+1+1+1+1+1+1
atom_d510,508.namd_r,1737125266,1693645206,43480060,2.503,26035964.07,144150794.52,301.629,31,3.97,123,26390,1035,17.858,15.132,82.469,6.594,4.068,0.08,4+4+4+4+4+4+4+4+4+4+4+5+4+5+4+4+4+4+4+4+4+4+4+4+4+4+5+5+5+1+1
atom_c2750,508.namd_r,1654799058,1611339434,43459624,2.626,18108176.67,144083042.41,301.629,31,3.97,123,26390,1035,17.858,15.132,82.469,6.594,4.068,0.08,4+4+4+4+4+4+4+4+4+4+4+5+4+5+4+4+4+4+4+4+4+4+4+4+4+4+5+5+5+1+1
