benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
503.bwaves_r,2,region_3,210659821,210301505,0.57,0.57,0.17
503.bwaves_r,2,region_4,268956650,266026519,0.45,0.45,1.09
503.bwaves_r,2,region_5,229996852,229680938,0.52,0.52,0.14
503.bwaves_r,2,region_6,210395668,210024555,0.57,0.57,0.18
503.bwaves_r,2,region_7,224993225,224659166,0.53,0.53,0.15
503.bwaves_r,2,region_8,171185278,167242274,0.70,0.72,2.30
503.bwaves_r,2,region_9,109606114,104897773,1.09,1.14,4.30
503.bwaves_r,2,region_10,237606865,237295726,0.51,0.51,0.13
503.bwaves_r,2,region_11,227280450,224303142,0.53,0.53,1.31
503.bwaves_r,2,region_12,202208071,201830082,0.59,0.59,0.19
503.bwaves_r,2,region_13,197144661,195401404,0.61,0.61,0.88
503.bwaves_r,2,region_14,140275557,136332362,0.86,0.88,2.81
503.bwaves_r,2,region_15,286541638,286296585,0.42,0.42,0.09
503.bwaves_r,2,region_16,238455096,235733155,0.50,0.51,1.14
503.bwaves_r,2,region_17,258302479,258022855,0.46,0.47,0.11
503.bwaves_r,2,region_18,214917593,214564243,0.56,0.56,0.16
503.bwaves_r,2,region_19,239042230,238716193,0.50,0.50,0.14
503.bwaves_r,2,region_20,202226980,201849946,0.59,0.59,0.19
503.bwaves_r,2,region_21,291973678,291740658,0.41,0.41,0.08
503.bwaves_r,2,region_22,224583148,224239348,0.53,0.54,0.15
503.bwaves_r,2,region_23,297329700,297120746,0.40,0.40,0.07
503.bwaves_r,2,region_24,291440597,291207386,0.41,0.41,0.08
503.bwaves_r,2,average,230058338,228892450,0.55,0.55,0.67

503.bwaves_r,3,region_1,237778383,237445088,0.50,0.51,0.14
503.bwaves_r,3,region_2,202332985,200761437,0.59,0.60,0.78
503.bwaves_r,3,region_3,210099045,209728314,0.57,0.57,0.18
503.bwaves_r,3,region_4,225043267,221535170,0.53,0.54,1.56
503.bwaves_r,3,region_5,278876235,278625643,0.43,0.43,0.09
503.bwaves_r,3,region_6,238313374,237982371,0.50,0.50,0.14
503.bwaves_r,3,region_7,246091276,243534932,0.49,0.49,1.04
503.bwaves_r,3,region_8,166318789,163331167,0.72,0.73,1.80
503.bwaves_r,3,region_9,160236012,156291098,0.75,0.77,2.46
503.bwaves_r,3,region_10,238218256,237883433,0.50,0.50,0.14
503.bwaves_r,3,region_11,278993318,278745400,0.43,0.43,0.09
503.bwaves_r,3,region_12,224415068,224101255,0.53,0.54,0.14
503.bwaves_r,3,region_13,221548540,221194235,0.54,0.54,0.16
503.bwaves_r,3,region_14,193401252,189576095,0.62,0.63,1.98
503.bwaves_r,3,region_15,219281179,218916942,0.55,0.55,0.17
503.bwaves_r,3,region_16,251933584,248968691,0.48,0.48,1.18
503.bwaves_r,3,region_17,238239839,237903870,0.50,0.50,0.14
503.bwaves_r,3,region_18,278497864,278250328,0.43,0.43,0.09
503.bwaves_r,3,region_19,263457951,263178518,0.46,0.46,0.11
503.bwaves_r,3,region_20,233073289,232737320,0.51,0.52,0.14
503.bwaves_r,3,region_21,238704924,238629479,0.50,0.50,0.03
503.bwaves_r,3,region_22,248812262,248506471,0.48,0.48,0.12
503.bwaves_r,3,region_23,134759859,130244619,0.89,0.92,3.35
503.bwaves_r,3,average,227322894,226003125,0.54,0.55,0.70

503.bwaves_r,4,region_1,250155565,247482711,0.48,0.48,1.07
503.bwaves_r,4,region_2,271876849,271618235,0.44,0.44,0.10
503.bwaves_r,4,region_3,254360430,254073930,0.47,0.47,0.11
503.bwaves_r,4,region_4,245722264,245394890,0.49,0.49,0.13
503.bwaves_r,4,region_5,326393215,325092314,0.37,0.37,0.40
503.bwaves_r,4,region_6,205058555,204683049,0.59,0.59,0.18
503.bwaves_r,4,region_7,168556163,166053490,0.71,0.72,1.48
503.bwaves_r,4,region_8,286632363,286405646,0.42,0.42,0.08
503.bwaves_r,4,region_9,373306253,373286389,0.32,0.32,0.01
503.bwaves_r,4,region_10,225241525,224048730,0.53,0.54,0.53
503.bwaves_r,4,region_11,242804357,242523778,0.49,0.49,0.12
503.bwaves_r,4,region_12,240922816,240601936,0.50,0.50,0.13
503.bwaves_r,4,region_13,219089224,218720021,0.55,0.55,0.17
503.bwaves_r,4,region_14,214654586,214289394,0.56,0.56,0.17
503.bwaves_r,4,region_15,245672222,245345612,0.49,0.49,0.13
503.bwaves_r,4,region_16,226720629,226374155,0.53,0.53,0.15
503.bwaves_r,4,region_17,298759526,298606726,0.40,0.40,0.05
503.bwaves_r,4,region_18,247472970,244529087,0.48,0.49,1.19
503.bwaves_r,4,region_19,286650317,286420926,0.42,0.42,0.08
503.bwaves_r,4,region_20,198575633,194257505,0.60,0.62,2.17
503.bwaves_r,4,region_21,286610398,286381580,0.42,0.42,0.08
503.bwaves_r,4,average,253106470,252199529,0.49,0.49,0.41

505.mcf_r,1,region_1,206442350,196096071,0.58,0.61,5.01
505.mcf_r,1,region_2,661815000,658749450,0.18,0.18,0.46
505.mcf_r,1,region_3,147456775,145981300,0.81,0.82,1.00
505.mcf_r,1,region_4,225581696,224293783,0.53,0.54,0.57
505.mcf_r,1,region_5,811713137,806150644,0.15,0.15,0.69
505.mcf_r,1,region_6,634973006,631861425,0.19,0.19,0.49
505.mcf_r,1,region_7,253475527,246867882,0.47,0.49,2.61
505.mcf_r,1,region_8,144054301,142583219,0.83,0.84,1.02
505.mcf_r,1,region_9,270681953,269602230,0.44,0.45,0.40
505.mcf_r,1,region_10,314194427,313267695,0.38,0.38,0.29
505.mcf_r,1,region_11,516047238,515037230,0.23,0.23,0.20
505.mcf_r,1,region_12,589725106,589716893,0.20,0.20,0.00
505.mcf_r,1,region_13,258038326,257171568,0.47,0.47,0.34
505.mcf_r,1,region_14,182543093,181112694,0.66,0.66,0.78
505.mcf_r,1,region_15,406106683,404285116,0.30,0.30,0.45
505.mcf_r,1,region_16,175484306,174108915,0.68,0.69,0.78
505.mcf_r,1,region_17,181397475,179949122,0.66,0.67,0.80
505.mcf_r,1,region_18,318061986,317328928,0.38,0.38,0.23
505.mcf_r,1,region_19,266329063,265769624,0.45,0.45,0.21
505.mcf_r,1,region_20,635058001,632358789,0.19,0.19,0.43
505.mcf_r,1,region_21,164686121,163279788,0.73,0.73,0.85
505.mcf_r,1,region_22,278259305,277275655,0.43,0.43,0.35
505.mcf_r,1,region_23,824860431,820577256,0.15,0.15,0.52
505.mcf_r,1,region_24,192537168,191172855,0.62,0.63,0.71
505.mcf_r,1,region_25,209790389,208396662,0.57,0.58,0.66
505.mcf_r,1,region_26,360978731,360810269,0.33,0.33,0.05
505.mcf_r,1,region_27,492093737,486114482,0.24,0.25,1.22
505.mcf_r,1,region_28,578970469,577656007,0.21,0.21,0.23
505.mcf_r,1,average,367905564,365627698,0.43,0.44,0.79

507.cactuBSSN_r,1,region_1,582109936,581688017,0.21,0.21,0.07
507.cactuBSSN_r,1,region_2,192949728,192436511,0.62,0.62,0.27
507.cactuBSSN_r,1,region_3,486665708,486665517,0.25,0.25,0.00
507.cactuBSSN_r,1,region_4,275747655,273310686,0.44,0.44,0.88
507.cactuBSSN_r,1,region_5,525378352,525370521,0.23,0.23,0.00
507.cactuBSSN_r,1,region_6,414106909,411580743,0.29,0.29,0.61
507.cactuBSSN_r,1,region_7,89573270,89573270,1.34,1.34,0.00
507.cactuBSSN_r,1,region_8,251727304,251722911,0.48,0.48,0.00
507.cactuBSSN_r,1,region_9,517834807,517828313,0.23,0.23,0.00
507.cactuBSSN_r,1,region_10,188274812,188270419,0.64,0.64,0.00
507.cactuBSSN_r,1,region_11,435619239,435618857,0.28,0.28,0.00
507.cactuBSSN_r,1,region_12,232833202,230708900,0.52,0.52,0.91
507.cactuBSSN_r,1,region_13,264041456,263632143,0.45,0.46,0.16
507.cactuBSSN_r,1,region_14,89615481,89615481,1.34,1.34,0.00
507.cactuBSSN_r,1,region_15,398953924,396535291,0.30,0.30,0.61
507.cactuBSSN_r,1,region_16,501338328,501070928,0.24,0.24,0.05
507.cactuBSSN_r,1,region_17,270521322,270409587,0.44,0.44,0.04
507.cactuBSSN_r,1,region_18,293735653,293566427,0.41,0.41,0.06
507.cactuBSSN_r,1,region_19,409802342,409802151,0.29,0.29,0.00
507.cactuBSSN_r,1,region_20,565545652,565131564,0.21,0.21,0.07
507.cactuBSSN_r,1,region_21,228862121,226082116,0.52,0.53,1.21
507.cactuBSSN_r,1,region_22,247442410,247103576,0.48,0.49,0.14
507.cactuBSSN_r,1,region_23,132009268,131933632,0.91,0.91,0.06
507.cactuBSSN_r,1,region_24,125638463,125609622,0.96,0.96,0.02
507.cactuBSSN_r,1,region_25,122342185,122283548,0.98,0.98,0.05
507.cactuBSSN_r,1,average,313706781,313102029,0.52,0.52,0.33

508.namd_r,1,region_1,95941210,95837306,1.25,1.25,0.11
508.namd_r,1,region_2,92927039,90914281,1.29,1.32,2.17
508.namd_r,1,region_3,82347549,80649941,1.46,1.49,2.06
508.namd_r,1,region_4,74710414,70703425,1.61,1.70,5.36
508.namd_r,1,region_5,82710449,80778866,1.45,1.49,2.34
508.namd_r,1,region_6,98291847,96123806,1.22,1.25,2.21
508.namd_r,1,region_7,79257360,78233218,1.51,1.53,1.29
508.namd_r,1,region_8,78226724,74982207,1.53,1.60,4.15
508.namd_r,1,region_9,95115135,95010658,1.26,1.26,0.11
508.namd_r,1,region_10,79641270,75215227,1.51,1.60,5.56
508.namd_r,1,region_11,87741771,87741580,1.37,1.37,0.00
508.namd_r,1,region_12,75320277,71323602,1.59,1.68,5.31
508.namd_r,1,region_13,94671251,92890749,1.27,1.29,1.88
508.namd_r,1,region_14,75044091,71020676,1.60,1.69,5.36
508.namd_r,1,region_15,85145126,85145126,1.41,1.41,0.00
508.namd_r,1,region_16,94214379,94214379,1.27,1.27,0.00
508.namd_r,1,region_17,94990794,94990603,1.26,1.26,0.00
508.namd_r,1,region_18,99264992,99264801,1.21,1.21,0.00
508.namd_r,1,region_19,94769616,93092636,1.27,1.29,1.77
508.namd_r,1,region_20,89332610,89332419,1.34,1.34,0.00
508.namd_r,1,region_21,87819508,87819317,1.37,1.37,0.00
508.namd_r,1,region_22,78765535,75589587,1.52,1.59,4.03
508.namd_r,1,region_23,79294223,74923570,1.51,1.60,5.51
508.namd_r,1,region_24,95404500,93848041,1.26,1.28,1.63
508.namd_r,1,region_25,88113075,88113266,1.36,1.36,-0.00
508.namd_r,1,region_26,96591183,96034418,1.24,1.25,0.58
508.namd_r,1,average,87525074,85915142,1.38,1.41,2.86

510.parest_r,1,region_1,108924244,101946823,1.10,1.18,6.41
510.parest_r,1,region_2,100578308,95258194,1.19,1.26,5.29
510.parest_r,1,region_3,101255212,101228090,1.19,1.19,0.03
510.parest_r,1,region_4,105219799,103976771,1.14,1.15,1.18
510.parest_r,1,region_5,292109479,291795857,0.41,0.41,0.11
510.parest_r,1,region_6,113505379,113441394,1.06,1.06,0.06
510.parest_r,1,region_7,90334787,87042902,1.33,1.38,3.64
510.parest_r,1,region_8,295296696,294990714,0.41,0.41,0.10
510.parest_r,1,region_9,103567840,103538617,1.16,1.16,0.03
510.parest_r,1,region_10,90093936,85851444,1.33,1.40,4.71
510.parest_r,1,region_11,157712329,156425371,0.76,0.77,0.82
510.parest_r,1,region_12,306585369,306319306,0.39,0.39,0.09
510.parest_r,1,region_13,295308920,295008095,0.41,0.41,0.10
510.parest_r,1,region_14,292689164,292528915,0.41,0.41,0.05
510.parest_r,1,region_15,106761742,106761742,1.12,1.12,0.00
510.parest_r,1,region_16,106457288,105543735,1.13,1.14,0.86
510.parest_r,1,region_17,294810028,294511113,0.41,0.41,0.10
510.parest_r,1,average,174188854,172715828,0.88,0.90,1.47

511.povray_r,1,region_1,112221286,111853420,1.07,1.07,0.33
511.povray_r,1,region_2,7920006,7895176,1.09,1.09,0.31
511.povray_r,1,region_3,117152906,116790770,1.02,1.03,0.31
511.povray_r,1,region_4,112789511,112405219,1.06,1.07,0.34
511.povray_r,1,region_5,111090375,110757844,1.08,1.08,0.30
511.povray_r,1,region_6,112381917,111970503,1.07,1.07,0.37
511.povray_r,1,region_7,112039263,111685722,1.07,1.07,0.32
511.povray_r,1,region_8,113204554,112798297,1.06,1.06,0.36
511.povray_r,1,region_9,112493079,112010231,1.07,1.07,0.43
511.povray_r,1,region_10,112587242,112147369,1.07,1.07,0.39
511.povray_r,1,region_11,113387341,113012599,1.06,1.06,0.33
511.povray_r,1,region_12,97827144,97447245,1.23,1.23,0.39
511.povray_r,1,region_13,111801086,111405525,1.07,1.08,0.35
511.povray_r,1,region_14,112741379,112373513,1.06,1.07,0.33
511.povray_r,1,region_15,101963822,101569980,1.18,1.18,0.39
511.povray_r,1,region_16,73025412,72792010,1.05,1.05,0.32
511.povray_r,1,region_17,111432456,111002324,1.08,1.08,0.39
511.povray_r,1,region_18,112590871,112154245,1.07,1.07,0.39
511.povray_r,1,region_19,111803187,111423288,1.07,1.08,0.34
511.povray_r,1,region_20,112985095,112611308,1.06,1.07,0.33
511.povray_r,1,region_21,88043169,87728210,1.06,1.07,0.36
511.povray_r,1,region_22,106900408,106564248,1.12,1.13,0.31
511.povray_r,1,region_23,105523680,105085144,1.14,1.14,0.42
511.povray_r,1,average,103648052,103281921,1.08,1.09,0.35

519.lbm_r,1,region_1,142776511,142153660,0.84,0.84,0.44
519.lbm_r,1,region_2,141857419,141233804,0.85,0.85,0.44
519.lbm_r,1,region_3,139170049,138560377,0.86,0.87,0.44
519.lbm_r,1,region_4,253776925,307516112,0.47,0.39,-21.18
519.lbm_r,1,region_5,139153241,138543187,0.86,0.87,0.44
519.lbm_r,1,region_6,141053309,140429121,0.85,0.85,0.44
519.lbm_r,1,region_7,267319780,329096056,0.45,0.36,-23.11
519.lbm_r,1,region_8,139109311,138494864,0.86,0.87,0.44
519.lbm_r,1,average,170527068,184503398,0.76,0.74,-5.21

520.omnetpp_r,1,region_1,203385777,202318851,0.59,0.59,0.52
520.omnetpp_r,1,region_2,142950703,142757984,0.84,0.84,0.13
520.omnetpp_r,1,region_3,195077659,193992970,0.62,0.62,0.56
